checkpoint,total_games,win,win_percentage,loss,loss_percentage,draw,draw_percentage,average_return
100,100,49,49.0,21,21.0,30,30.0,0.28
200,100,68,68.0,13,13.0,19,19.0,0.55
300,100,80,80.0,7,7.000000000000001,13,13.0,0.73
400,100,78,78.0,11,11.0,11,11.0,0.67
500,100,78,78.0,11,11.0,11,11.0,0.67
600,100,84,84.0,6,6.0,10,10.0,0.78
700,100,64,64.0,18,18.0,18,18.0,0.46
800,100,48,48.0,19,19.0,33,33.0,0.29
900,100,26,26.0,29,28.999999999999996,45,45.0,-0.03
final,100,31,31.0,25,25.0,44,44.0,0.06
