checkpoint,total_games,win,win_percentage,loss,loss_percentage,draw,draw_percentage,average_return
100,100,32,32.0,28,28.000000000000004,40,40.0,0.04
200,100,51,51.0,25,25.0,24,24.0,0.26
300,100,66,66.0,16,16.0,18,18.0,0.5
400,100,73,73.0,11,11.0,16,16.0,0.62
500,100,71,71.0,17,17.0,12,12.0,0.54
600,100,75,75.0,13,13.0,12,12.0,0.62
700,100,70,70.0,16,16.0,14,14.000000000000002,0.54
800,100,69,69.0,19,19.0,12,12.0,0.5
900,100,71,71.0,17,17.0,12,12.0,0.54
final,100,69,69.0,17,17.0,14,14.000000000000002,0.52
