checkpoint,total_games,win,win_percentage,loss,loss_percentage,draw,draw_percentage,average_return
100,100,60,60.0,24,24.0,16,16.0,0.36
200,100,65,65.0,16,16.0,19,19.0,0.49
300,100,65,65.0,18,18.0,17,17.0,0.47
400,100,70,70.0,14,14.000000000000002,16,16.0,0.56
500,100,72,72.0,16,16.0,12,12.0,0.56
600,100,80,80.0,11,11.0,9,9.0,0.69
700,100,70,70.0,14,14.000000000000002,16,16.0,0.56
800,100,76,76.0,12,12.0,12,12.0,0.64
900,100,72,72.0,8,8.0,20,20.0,0.64
final,100,60,60.0,18,18.0,22,22.0,0.42
