checkpoint,total_games,win,win_percentage,loss,loss_percentage,draw,draw_percentage,average_return
100,100,56,56.00000000000001,19,19.0,25,25.0,0.37
200,100,54,54.0,32,32.0,14,14.000000000000002,0.22
300,100,72,72.0,18,18.0,10,10.0,0.54
400,100,80,80.0,15,15.0,5,5.0,0.65
500,100,72,72.0,23,23.0,5,5.0,0.49
600,100,79,79.0,10,10.0,11,11.0,0.69
700,100,75,75.0,13,13.0,12,12.0,0.62
800,100,80,80.0,14,14.000000000000002,6,6.0,0.66
900,100,73,73.0,15,15.0,12,12.0,0.58
final,100,75,75.0,14,14.000000000000002,11,11.0,0.61
