checkpoint,total_games,win,win_percentage,loss,loss_percentage,draw,draw_percentage,average_return
100,100,61,61.0,10,10.0,29,28.999999999999996,0.51
200,100,55,55.00000000000001,17,17.0,28,28.000000000000004,0.38
300,100,78,78.0,13,13.0,9,9.0,0.65
400,100,76,76.0,13,13.0,11,11.0,0.63
500,100,74,74.0,16,16.0,10,10.0,0.58
600,100,78,78.0,11,11.0,11,11.0,0.67
700,100,68,68.0,14,14.000000000000002,18,18.0,0.54
800,100,75,75.0,14,14.000000000000002,11,11.0,0.61
900,100,49,49.0,27,27.0,24,24.0,0.22
final,100,44,44.0,21,21.0,35,35.0,0.23
