checkpoint,total_games,win,win_percentage,loss,loss_percentage,draw,draw_percentage,average_return
100,100,61,61.0,19,19.0,20,20.0,0.42
200,100,48,48.0,23,23.0,29,28.999999999999996,0.25
300,100,40,40.0,25,25.0,35,35.0,0.15
400,100,50,50.0,26,26.0,24,24.0,0.24
500,100,64,64.0,21,21.0,15,15.0,0.43
600,100,48,48.0,29,28.999999999999996,23,23.0,0.19
700,100,73,73.0,18,18.0,9,9.0,0.55
800,100,60,60.0,29,28.999999999999996,11,11.0,0.31
900,100,73,73.0,14,14.000000000000002,13,13.0,0.59
final,100,67,67.0,19,19.0,14,14.000000000000002,0.48
